cid,text
1,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
1. Phân cấp để Ủy ban nhân dân cấp tỉnh quản lý quốc lộ bao gồm:
a) Quốc lộ trên địa bàn tỉnh, thành phố trực thuộc trung ương, trừ quốc lộ quy định tại khoản 2 Điều này;"
2,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
1. Phân cấp để Ủy ban nhân dân cấp tỉnh quản lý quốc lộ bao gồm:
b) Các công trình, hạng mục thuộc kết cấu hạ tầng đường bộ gắn với quốc lộ được phân cấp (nhà hạt quản lý đường bộ, công trình kiểm soát tải trọng xe, đất của đường bộ, hành lang an toàn đường bộ và các hạng mục khác thuộc kết cấu hạ tầng đường bộ);"
3,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
1. Phân cấp để Ủy ban nhân dân cấp tỉnh quản lý quốc lộ bao gồm:
c) Các công trình cầu, hầm, bến phà nằm trên địa bàn hai tỉnh, thành phố trực thuộc trung ương, Bộ Giao thông vận tải lấy ý kiến Ủy ban nhân dân cấp tỉnh có liên quan, trước khi quyết định một Ủy ban nhân dân cấp tỉnh được phân cấp quản lý công trình này."
4,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
2. Các quốc lộ không phân cấp, bao gồm:
a) Đường cao tốc do Bộ Giao thông vận tải quản lý;"
5,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
2. Các quốc lộ không phân cấp, bao gồm:
b) Quốc lộ 1, đường Hồ Chí Minh để kết nối các tuyến quốc lộ và các tuyến đường bộ khác theo chiều dọc đất nước;"
6,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
2. Các quốc lộ không phân cấp, bao gồm:
c) Quốc lộ có yêu cầu đặc biệt về bảo đảm quốc phòng, an ninh;"
7,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
2. Các quốc lộ không phân cấp, bao gồm:
d) Tuyến, đoạn tuyến quốc lộ Nhà nước đã giao doanh nghiệp nhà nước đầu tư xây dựng, quản lý, vận hành, khai thác, bảo trì;"
8,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
2. Các quốc lộ không phân cấp, bao gồm:
đ) Các trường hợp khác do Thủ tướng Chính phủ quyết định."
9,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
5. Trách nhiệm của Ủy ban nhân dân cấp tỉnh đối với quốc lộ được phân cấp
a) Đầu tư, xây dựng quốc lộ được phân cấp theo quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được duyệt;"
10,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
5. Trách nhiệm của Ủy ban nhân dân cấp tỉnh đối với quốc lộ được phân cấp
b) Quản lý, vận hành, khai thác, bảo trì, bảo vệ kết cấu hạ tầng đường bộ là quốc lộ được phân cấp quy định tại khoản 1 Điều này theo quy định của pháp luật về đường bộ;"
11,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
5. Trách nhiệm của Ủy ban nhân dân cấp tỉnh đối với quốc lộ được phân cấp
c) Quản lý, sử dụng, khai thác tài sản kết cấu hạ tầng đường bộ là quốc lộ được phân cấp theo quy định của pháp luật về quản lý, sử dụng tài sản công;"
12,"165/2024/ND-CP
Điều 4. Phân cấp quản lý quốc lộ
5. Trách nhiệm của Ủy ban nhân dân cấp tỉnh đối với quốc lộ được phân cấp
d) Bảo đảm kết nối giao thông đồng bộ về tải trọng, phương tiện tham gia giao thông trên đoạn quốc lộ được phân cấp quản lý với các tuyến đường bộ trong quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ và bảo đảm kết nối giao thông thuận lợi với các tuyến đường khác trong khu vực."
13,"165/2024/ND-CP
Điều 5. Giao Ủy ban nhân dân cấp tỉnh quản lý quốc lộ để đáp ứng nhu cầu phát triển kinh tế - xã hội, bảo đảm lợi ích quốc gia, quốc phòng, an ninh và khả năng bố trí nguồn lực của địa phương
2. Trách nhiệm của Ủy ban nhân dân cấp tỉnh khi được Thủ tướng Chính phủ giao quản lý quốc lộ
a) Tiếp nhận tuyến, đoạn tuyến quốc lộ được giao và tổ chức thực hiện theo mục đích được giao; bảo đảm quy mô, cấp công trình không thấp hơn quy hoạch mạng lưới đường bộ, quy hoạch kết cấu hạ tầng đường bộ được duyệt;"
